run_name,policy,budget,videos,generated_frames,initial_memory_frames,generator_context_frames,retrieved_memory_frames,sampling_timesteps,dataset_seed,generation_seed,gt_reference,psnr,lpips,rfid
worldmem_native_unbounded_10s_n10_seed42,Unbounded,,10,1000,600,8,8,20,42,42,VAE-reconstructed exact-index GT,29.2699,0.173243,45.2483
worldmem_native_keepsake_b32_10s_n10_seed42,KEEPSAKE,32,10,1000,600,8,8,20,42,42,VAE-reconstructed exact-index GT,29.4097,0.150024,34.1663
